Дата;Объект;ФИО;Место расположения;ХВС модель ПУ;ХВС сер. ном.;ХВС ID;ХВС нач., м3;ХВС кон., м3;ХВС потр., м3;Последнее сообщение;Внимание;Примечания;;;;;;;;;;;;;
2019.05.14 00:00:00 - 2019.05.15 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;24,47;24,47;0;13-06-2019;;;;;;;;;;;;;;;
2019.05.15 00:00:00 - 2019.05.16 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;24,47;24,55;0,08;13-06-2019;;;;;;;;;;;;;;;
2019.05.16 00:00:00 - 2019.05.17 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;24,55;24,59;0,04;13-06-2019;;;;;;;;;;;;;;;
2019.05.17 00:00:00 - 2019.05.18 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;24,59;24,65;0,06;13-06-2019;;;;;;;;;;;;;;;
2019.05.18 00:00:00 - 2019.05.19 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;24,65;24,69;0,04;13-06-2019;;;;;;;;;;;;;;;
2019.05.19 00:00:00 - 2019.05.20 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;24,69;24,85;0,16;13-06-2019;;;;;;;;;;;;;;;
2019.05.20 00:00:00 - 2019.05.21 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;24,85;24,93;0,08;13-06-2019;;;;;;;;;;;;;;;
2019.05.21 00:00:00 - 2019.05.22 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;24,93;24,98;0,05;13-06-2019;;;;;;;;;;;;;;;
2019.05.22 00:00:00 - 2019.05.23 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;24,98;25,07;0,09;13-06-2019;;;;;;;;;;;;;;;
2019.05.23 00:00:00 - 2019.05.24 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;25,07;25,14;0,07;13-06-2019;;;;;;;;;;;;;;;
2019.05.24 00:00:00 - 2019.05.25 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;25,14;25,2;0,06;13-06-2019;;;;;;;;;;;;;;;
